Probe,"[-25, -5)","[-5, 15)","[15, 35)","[35, 55)","[55, 75)","[75, 95)","[95, 115)","[115, 135)","[135, 155)","[155, 175)","[175, 195)","[195, 215)","[215, 235)","[235, 255)","[255, 275)",Overall_Cluster
L358_S5,0,2,4,2,2,1,3,0,1,2,1,2,2,2,1,4
L359_S5,3,2,1,2,2,1,1,0,1,2,1,2,2,2,4,4
L360_S5,0,2,4,2,2,1,1,0,1,2,1,2,2,2,4,4
L361_S5,0,3,3,3,1,3,5,4,4,5,3,3,3,3,2,2
L362_S5,0,3,3,3,1,3,5,4,2,3,3,3,3,3,3,2
L363_S5,3,2,1,2,2,1,1,0,1,2,1,2,2,2,4,4
L364_S5,0,2,4,2,2,1,3,0,2,3,5,5,5,5,1,2
L365_S5,0,2,1,2,2,1,1,0,1,2,1,2,2,2,4,4
L366_S5,3,2,1,2,2,1,1,0,1,2,1,2,2,2,1,4
L367_S5,0,3,3,3,1,3,5,4,4,5,3,3,1,1,2,2
L368_S5,2,1,2,5,5,4,2,4,3,1,2,1,1,1,2,1
L369_S5,0,2,4,2,2,3,3,4,2,3,3,3,3,3,3,2
L370_S5,0,2,4,2,2,1,1,0,1,2,1,2,2,2,1,4
L371_S5,2,1,2,5,5,4,2,4,3,1,2,1,1,1,2,1
